movieId,title,genres,overview
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,
2,Jumanji (1995),Adventure|Children|Fantasy,
3,Grumpier Old Men (1995),Comedy|Romance,
4,Waiting to Exhale (1995),Comedy|Drama|Romance,
5,Father of the Bride Part II (1995),Comedy,
6,Heat (1995),Action|Crime|Thriller,
7,Sabrina (1995),Comedy|Romance,
8,Tom and Huck (1995),Adventure|Children,
9,Sudden Death (1995),Action,
10,GoldenEye (1995),Action|Adventure|Thriller,
11,"American President, The (1995)",Comedy|Drama|Romance,
12,Dracula: Dead and Loving It (1995),Comedy|Horror,
13,Balto (1995),Adventure|Animation|Children,
14,Nixon (1995),Drama,
15,Cutthroat Island (1995),Action|Adventure|Romance,
16,Casino (1995),Crime|Drama,
17,Sense and Sensibility (1995),Drama|Romance,
18,Four Rooms (1995),Comedy,
19,Ace Ventura: When Nature Calls (1995),Comedy,
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,
21,Get Shorty (1995),Comedy|Crime|Thriller,
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,
23,Assassins (1995),Action|Crime|Thriller,
24,Powder (1995),Drama|Sci-Fi,
25,Leaving Las Vegas (1995),Drama|Romance,
26,Othello (1995),Drama,
27,Now and Then (1995),Children|Drama,
28,Persuasion (1995),Drama|Romance,
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,
31,Dangerous Minds (1995),Drama,
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,
34,Babe (1995),Children|Drama,"En la granja Hagget cada animal tiene una misión que cumplir, pero el cerdito Babe es diferente al resto de sus compañeros: él no acepta terminar siendo la cena de Navidad, quiere ser un cerdo pastor para guiar y proteger a las ovejas."
36,Dead Man Walking (1995),Crime|Drama,
38,It Takes Two (1995),Children|Comedy,
39,Clueless (1995),Comedy|Romance,
40,"Cry, the Beloved Country (1995)",Drama,
41,Richard III (1995),Drama|War,
42,Dead Presidents (1995),Action|Crime|Drama,
43,Restoration (1995),Drama,
44,Mortal Kombat (1995),Action|Adventure|Fantasy,
45,To Die For (1995),Comedy|Drama|Thriller,
46,How to Make an American Quilt (1995),Drama|Romance,
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,
49,When Night Is Falling (1995),Drama|Romance,
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,
53,Lamerica (1994),Adventure|Drama,
54,"Big Green, The (1995)",Children|Comedy,
55,Georgia (1995),Drama,
57,Home for the Holidays (1995),Drama,
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,
61,Eye for an Eye (1996),Drama|Thriller,
62,Mr. Holland's Opus (1995),Drama,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,
64,Two if by Sea (1996),Comedy|Romance,
65,Bio-Dome (1996),Comedy,
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,
68,French Twist (Gazon maudit) (1995),Comedy|Romance,
69,Friday (1995),Comedy,
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,
71,Fair Game (1995),Action,
72,Kicking and Screaming (1995),Comedy|Drama,
73,"Misérables, Les (1995)",Drama|War,
74,Bed of Roses (1996),Drama|Romance,
75,Big Bully (1996),Comedy|Drama,
76,Screamers (1995),Action|Sci-Fi|Thriller,
77,Nico Icon (1995),Documentary,
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,
79,"Juror, The (1996)",Drama|Thriller,
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,
82,Antonia's Line (Antonia) (1995),Comedy|Drama,
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,
85,Angels and Insects (1995),Drama|Romance,
86,White Squall (1996),Action|Adventure|Drama,
87,Dunston Checks In (1996),Children|Comedy,
88,Black Sheep (1996),Comedy,
89,Nick of Time (1995),Action|Thriller,
92,Mary Reilly (1996),Drama|Horror|Thriller,
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,
94,Beautiful Girls (1996),Comedy|Drama|Romance,
95,Broken Arrow (1996),Action|Adventure|Thriller,
96,In the Bleak Midwinter (1995),Comedy|Drama,
97,"Hate (Haine, La) (1995)",Crime|Drama,
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,
100,City Hall (1996),Drama|Thriller,
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,
102,Mr. Wrong (1996),Comedy,
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,
104,Happy Gilmore (1996),Comedy,
105,"Bridges of Madison County, The (1995)",Drama|Romance,
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,
108,Catwalk (1996),Documentary,
110,Braveheart (1995),Action|Drama|War,
111,Taxi Driver (1976),Crime|Drama|Thriller,"Para sobrellevar el insomnio crónico que sufre desde su regreso de Vietnam, Travis Bickle (Robert De Niro) trabaja como taxista nocturno en Nueva York. Es un hombre insociable que apenas tiene contacto con los demás, se pasa los días en el cine y vive prendado de Betsy (Cybill Shepherd), una atractiva rubia que trabaja como voluntaria en una campaña política. Pero lo que realmente obsesiona a Travis es comprobar cómo la violencia, la sordidez y la desolación dominan la ciudad. Y un día decide pasar a la acción."
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,
113,Before and After (1996),Drama|Mystery,
116,Anne Frank Remembered (1995),Documentary,
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,
118,If Lucy Fell (1996),Comedy|Romance,
119,"Steal Big, Steal Little (1995)",Comedy,
121,"Boys of St. Vincent, The (1992)",Drama,
122,Boomerang (1992),Comedy|Romance,
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,
125,Flirting With Disaster (1996),Comedy,
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,
128,Jupiter's Wife (1994),Documentary,
129,Pie in the Sky (1996),Comedy|Romance,
132,Jade (1995),Thriller,
135,Down Periscope (1996),Comedy,
137,Man of the Year (1995),Documentary,
140,Up Close and Personal (1996),Drama|Romance,
141,"Birdcage, The (1996)",Comedy,
144,"Brothers McMullen, The (1995)",Comedy,
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,
147,"Basketball Diaries, The (1995)",Drama,
148,"Awfully Big Adventure, An (1995)",Drama,
149,Amateur (1994),Crime|Drama|Thriller,
150,Apollo 13 (1995),Adventure|Drama|IMAX,"El Apolo 13 inicia su viaje a la luna en abril de 1970. Cuando la tripulación está a punto de llegar a su destino, una explosión en el espacio les hace perder oxígeno, energía y el curso de la nave... Todo se convierte en una situación desesperada para los tres hombres tripulantes, especialmente cuando el oxígeno amenaza con agotarse. Mientras, el mundo entero, que apenas un año antes conoció la gloria de la aventura espacial cuando el hombre pisó la luna, contiene la respiración a la espera de ver cómo acaba tan angustiosa espera."
151,Rob Roy (1995),Action|Drama|Romance|War,
152,"Addiction, The (1995)",Drama|Horror,
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"Batman debe luchar contra el ex fiscal de distrito Harvey Dent, que ahora es Dos Caras y Edward Nygma, El Acertijo. Batman contará ahora con un nuevo interés amoroso y un joven acróbata de circo que queda huérfano y se convierte en su compañero: Robin."
154,Beauty of the Day (Belle de jour) (1967),Drama,
155,Beyond Rangoon (1995),Adventure|Drama|War,
156,Blue in the Face (1995),Comedy|Drama,
157,Canadian Bacon (1995),Comedy|War,
158,Casper (1995),Adventure|Children,
159,Clockers (1995),Crime|Drama|Mystery,
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,
161,Crimson Tide (1995),Drama|Thriller|War,
162,Crumb (1994),Documentary,
163,Desperado (1995),Action|Romance|Western,
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,"Un tal Simon siembra el pánico en las calles de Nueva York haciendo explotar una serie de bombas y asegura que no dejará de hacerlo a menos que el agente John McClane acceda a jugar con él a un juego llamado ""Simón dice"". Con la ayuda de Zeus, un electricista de Harlem, el agente comienza una trepidante carrera para resolver las adivinanzas planteadas por el terrorista y al mismo tiempo, para averiguar sus intenciones"
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,
168,First Knight (1995),Action|Drama|Romance,
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,
170,Hackers (1995),Action|Adventure|Crime|Thriller,
171,Jeffrey (1995),Comedy|Drama,
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,
173,Judge Dredd (1995),Action|Crime|Sci-Fi,
174,Jury Duty (1995),Comedy,
175,Kids (1995),Drama,
176,Living in Oblivion (1995),Comedy,
177,Lord of Illusions (1995),Horror,
178,Love & Human Remains (1993),Comedy|Drama,
179,Mad Love (1995),Drama|Romance,
180,Mallrats (1995),Comedy|Romance,
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Unos adolescentes con mucha energía buscan una misteriosa fuente de energía con el fin de evitar que un antiguo villano conquiste la Tierra.
183,Mute Witness (1994),Comedy|Horror|Thriller,
184,Nadja (1994),Drama,
185,"Net, The (1995)",Action|Crime|Thriller,
186,Nine Months (1995),Comedy|Romance,
187,Party Girl (1995),Comedy,
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,
189,Reckless (1995),Comedy|Fantasy,
190,Safe (1995),Thriller,
191,"Scarlet Letter, The (1995)",Drama|Romance,
193,Showgirls (1995),Drama,
194,Smoke (1995),Comedy|Drama,
195,Something to Talk About (1995),Comedy|Drama|Romance,
196,Species (1995),Horror|Sci-Fi,
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,
201,Three Wishes (1995),Drama|Fantasy,
202,Total Eclipse (1995),Drama|Romance,
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,
204,Under Siege 2: Dark Territory (1995),Action,
205,Unstrung Heroes (1995),Comedy|Drama,
206,Unzipped (1995),Documentary,
207,"Walk in the Clouds, A (1995)",Drama|Romance,
208,Waterworld (1995),Action|Adventure|Sci-Fi,"Los casquetes polares se han derretido y toda la Tierra está cubierta de agua marina. Los hombres sobreviven en plataformas flotantes y su principal ocupación es la búsqueda de agua dulce, el bien más preciado. Entre ellos circula una leyenda según la cual en algún lugar existe tierra firme. Mariner, un viajero errante y solitario que vive del trueque, llega un día a un atolón de chatarra y vende tierra a sus moradores, pero cuando éstos descubren que es un híbrido, mitad pez y mitad humano, lo condenan a muerte."
209,White Man's Burden (1995),Drama,
210,Wild Bill (1995),Western,
211,"Browning Version, The (1994)",Drama,
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,
214,Before the Rain (Pred dozhdot) (1994),Drama|War,
215,Before Sunrise (1995),Drama|Romance,
216,Billy Madison (1995),Comedy,
217,"Babysitter, The (1995)",Drama|Thriller,
218,Boys on the Side (1995),Comedy|Drama,
219,"Cure, The (1995)",Drama,
220,Castle Freak (1995),Horror,
222,Circle of Friends (1995),Drama|Romance,
223,Clerks (1994),Comedy,
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,
225,Disclosure (1994),Drama|Thriller,
227,Drop Zone (1994),Action|Thriller,
228,Destiny Turns on the Radio (1995),Comedy,
229,Death and the Maiden (1994),Drama|Thriller,
230,Dolores Claiborne (1995),Drama|Thriller,
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,
233,Exotica (1994),Drama,
234,Exit to Eden (1994),Comedy,
235,Ed Wood (1994),Comedy|Drama,
236,French Kiss (1995),Action|Comedy|Romance,
237,Forget Paris (1995),Comedy|Romance,
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,
240,Hideaway (1995),Thriller,
241,Fluke (1995),Children|Drama,"Nada más nacer, Fluke descubre un emocionante mundo de diversión. Disfruta tanto retozando con sus hermanos como echándose la siesta con su mamá. Pero un sueño recurrente y una serie de percances le traen a la memoria recuerdos que sólo pueden pertenecer a una vida anterior muy diferente: la de un hombre. Emprende entonces un extraordinario viaje para conocer a su anterior familia."
242,Farinelli: il castrato (1994),Drama|Musical,
243,Gordy (1995),Children|Comedy|Fantasy,
246,Hoop Dreams (1994),Documentary,
247,Heavenly Creatures (1994),Crime|Drama,
248,Houseguest (1994),Comedy,
249,Immortal Beloved (1994),Drama|Romance,
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,
251,"Hunted, The (1995)",Action,
252,I.Q. (1994),Comedy|Romance,
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,
254,Jefferson in Paris (1995),Drama,
255,"Jerky Boys, The (1995)",Comedy,
256,Junior (1994),Comedy|Sci-Fi,
257,Just Cause (1995),Mystery|Thriller,
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,
259,Kiss of Death (1995),Crime|Drama|Thriller,
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,
